arcsec, 5sigHcontr
0.2812, 2.5472e-5
0.2824, 2.5472e-5
0.2835, 2.5302e-5
0.2846, 2.5133e-5
0.2857, 2.4965e-5
0.2868, 2.4798e-5
0.2879, 2.4799e-5
0.2891, 2.4633e-5
0.2902, 2.4468e-5
0.2913, 2.4305e-5
0.2924, 2.4142e-5
0.2934, 2.3981e-5
0.2946, 2.3821e-5
0.2958, 2.3661e-5
0.2969, 2.3503e-5
0.298, 2.3346e-5
0.2991, 2.319e-5
0.2991, 2.3035e-5
0.2991, 2.2881e-5
0.3002, 2.2881e-5
0.3002, 2.2728e-5
0.3013, 2.2728e-5
0.3013, 2.2576e-5
0.3025, 2.2425e-5
0.3025, 2.2275e-5
0.3035, 2.2126e-5
0.3047, 2.1978e-5
0.3058, 2.1832e-5
0.3058, 2.1685e-5
0.3069, 2.1541e-5
0.308, 2.1397e-5
0.3092, 2.1254e-5
0.3092, 2.1111e-5
0.3103, 2.097e-5
0.3114, 2.083e-5
0.3125, 2.0691e-5
0.3136, 2.0553e-5
0.3147, 2.0553e-5
0.3158, 2.0415e-5
0.317, 2.0416e-5
0.3181, 2.0416e-5
0.3192, 2.0416e-5
0.3203, 2.0279e-5
0.3214, 2.0144e-5
0.3225, 2.0144e-5
0.3237, 2.0009e-5
0.3248, 2.001e-5
0.3259, 1.9876e-5
0.327, 1.9876e-5
0.3281, 1.9743e-5
0.3292, 1.9743e-5
0.3304, 1.9743e-5
0.3315, 1.9612e-5
0.3326, 1.9612e-5
0.3336, 1.9612e-5
0.3348, 1.9612e-5
0.3359, 1.9612e-5
0.3371, 1.9481e-5
0.3382, 1.9481e-5
0.3393, 1.9481e-5
0.3404, 1.9481e-5
0.3415, 1.9482e-5
0.3426, 1.9351e-5
0.3437, 1.9352e-5
0.3449, 1.9352e-5
0.346, 1.9222e-5
0.3471, 1.9223e-5
0.3482, 1.9223e-5
0.3493, 1.9094e-5
0.3504, 1.9094e-5
0.3516, 1.8967e-5
0.3527, 1.8967e-5
0.3538, 1.884e-5
0.3549, 1.884e-5
0.3559, 1.8714e-5
0.3571, 1.8715e-5
0.3583, 1.8589e-5
0.3594, 1.859e-5
0.3605, 1.8465e-5
0.3616, 1.8465e-5
0.3627, 1.8342e-5
0.3638, 1.8219e-5
0.365, 1.8098e-5
0.366, 1.8098e-5
0.3672, 1.7977e-5
0.3683, 1.7857e-5
0.3694, 1.7737e-5
0.3705, 1.7738e-5
0.3717, 1.7619e-5
0.3728, 1.7501e-5
0.3739, 1.7384e-5
0.375, 1.7268e-5
0.3761, 1.7268e-5
0.3772, 1.7153e-5
0.3783, 1.7038e-5
0.3795, 1.7038e-5
0.3806, 1.6924e-5
0.3817, 1.6811e-5
0.3828, 1.6699e-5
0.3839, 1.6699e-5
0.385, 1.6588e-5
0.3862, 1.6477e-5
0.3873, 1.6367e-5
0.3884, 1.6367e-5
0.3895, 1.6257e-5
0.3906, 1.6149e-5
0.3917, 1.6149e-5
0.3929, 1.6041e-5
0.394, 1.5934e-5
0.3951, 1.5934e-5
0.3961, 1.5827e-5
0.3973, 1.5827e-5
0.3984, 1.5722e-5
0.3996, 1.5722e-5
0.4007, 1.5722e-5
0.4018, 1.5617e-5
0.4029, 1.5617e-5
0.404, 1.5513e-5
0.4051, 1.5513e-5
0.4062, 1.5513e-5
0.4074, 1.5409e-5
0.4085, 1.5409e-5
0.4096, 1.5306e-5
0.4107, 1.5306e-5
0.4118, 1.5204e-5
0.4129, 1.5102e-5
0.4141, 1.5001e-5
0.4152, 1.4901e-5
0.4163, 1.4802e-5
0.4174, 1.4703e-5
0.4184, 1.4604e-5
0.4196, 1.4605e-5
0.4208, 1.4507e-5
0.4219, 1.441e-5
0.423, 1.4314e-5
0.4241, 1.4218e-5
0.4252, 1.4123e-5
0.4263, 1.4029e-5
0.4275, 1.3935e-5
0.4285, 1.3842e-5
0.4297, 1.3749e-5
0.4297, 1.3657e-5
0.4308, 1.3657e-5
0.4308, 1.3566e-5
0.4319, 1.3566e-5
0.4319, 1.3475e-5
0.433, 1.3475e-5
0.4342, 1.3476e-5
0.4353, 1.3385e-5
0.4353, 1.3296e-5
0.4364, 1.3296e-5
0.4375, 1.3207e-5
0.4386, 1.3119e-5
0.4397, 1.3031e-5
0.4408, 1.2944e-5
0.442, 1.2858e-5
0.4431, 1.2772e-5
0.4442, 1.2686e-5
0.4453, 1.2602e-5
0.4464, 1.2517e-5
0.4464, 1.2434e-5
0.4475, 1.2434e-5
0.4475, 1.235e-5
0.4487, 1.2351e-5
0.4487, 1.2268e-5
0.4498, 1.2268e-5
