arcsec	dmag
1.0106	13.177
1.0317	13.108
1.0634	13.163
1.1056	13.177
1.1268	13.246
1.1373	13.315
1.1585	13.384
1.1585	13.481
1.1585	13.564
1.1585	13.633
1.1585	13.688
1.1585	13.757
1.1637	13.812
1.1690	14.420
1.1796	14.461
1.2218	14.503
1.2535	14.530
1.2852	14.586
1.3169	14.689
1.3486	14.807
1.3908	14.931
1.4120	14.917
1.4437	14.876
1.4754	14.931
1.4965	14.986
1.4965	15.028
1.5070	15.124
1.5176	15.180
1.5493	15.193
1.5810	15.304
1.6127	15.414
1.6549	15.511
1.7077	15.525
1.7500	15.622
1.7923	15.704
1.8451	15.760
1.8556	15.870
1.8662	16.064
1.8979	16.077
1.9401	16.188
1.9824	16.243
2.0563	16.326
2.0880	16.409
2.1303	16.478
2.1831	16.506
2.2042	16.602
2.2465	16.699
2.2782	16.727
2.3204	16.768
2.3627	16.809
2.4155	16.906
2.4683	16.892
2.5423	17.030
2.5951	16.989
2.7746	17.224
2.8380	17.155
2.9120	17.348
2.9542	17.348
3.0176	17.376
3.0599	17.390
3.1127	17.417
3.1549	17.445
3.1972	17.459
3.2183	17.500
3.2394	17.735
3.2923	17.818
3.3345	17.776
3.3873	17.790
3.4296	17.831
3.4824	17.762
3.5669	17.804
3.5775	17.776
3.6197	17.790
3.6725	17.749
3.7148	17.762
3.7570	17.666
3.7993	17.721
3.8521	17.569
3.8838	17.555
3.9472	17.831
4.0106	17.735
4.0634	17.693
4.0951	17.541
4.1479	17.624
4.1901	17.610
4.2746	17.776
4.3275	17.610
4.3803	17.500
4.4120	17.555
4.4754	17.528
4.5176	17.555
4.5704	17.638
4.6232	17.652
4.6655	17.749
4.8873	17.762
4.9296	17.914
4.9718	18.011
5.0246	18.025
5.0669	17.983
5.1197	18.108
5.1725	18.122
5.2254	18.080
5.2887	18.163
5.3099	18.011
5.3521	18.025
5.4261	17.942
5.5000	18.011
5.5423	17.914
5.5845	17.997
5.6373	17.873
5.6901	17.997
5.7324	17.997
5.8380	17.652
5.9225	17.680
5.9754	17.652
6.0493	17.721
6.0915	17.569
6.1444	17.707
6.1866	17.638
6.2394	17.721
6.3028	17.652
6.4190	17.901
6.4930	17.790
6.5352	17.735
6.5986	17.845
6.6514	17.804
6.6937	17.831
6.7359	17.721
6.8099	17.707
6.8627	17.735
6.8944	17.707
6.9366	17.749
6.9894	17.541
