#DataThief /Users/vbailey/Downloads/image.png Sunday 26-Aug-2018 4:33:25 PM
#From PALMS survey paper IV
#http://iopscience.iop.org/article/10.1088/0067-0049/216/1/7
#target = NLTT 6549, R~12; h-band image, 600s, 22dgr rot, SR=0.35
arcsec, dmag
0.3489, 10.8315
0.3517, 10.8315
0.3546, 10.8314
0.3575, 10.8845
0.3604, 10.8843
0.3633, 10.8843
0.3663, 10.9374
0.3693, 10.9374
0.3723, 10.9904
0.3753, 10.9904
0.3783, 10.9904
0.3814, 11.0434
0.3845, 11.0434
0.3876, 11.0964
0.3908, 11.0964
0.394, 11.0964
0.3972, 11.1494
0.4003, 11.1494
0.4037, 11.1493
0.4069, 11.2024
0.4102, 11.2023
0.4136, 11.2023
0.4169, 11.2023
0.4203, 11.2553
0.4237, 11.2553
0.4272, 11.2551
0.4307, 11.2551
0.4342, 11.3082
0.4377, 11.3082
0.4413, 11.3082
0.4447, 11.3082
0.4485, 11.3612
0.4521, 11.3612
0.4558, 11.4142
0.4595, 11.4672
0.4632, 11.5202
0.467, 11.5733
0.4707, 11.6263
0.4746, 11.6793
0.4784, 11.7323
0.4823, 11.7854
0.4862, 11.7852
0.4902, 11.8384
0.4942, 11.8914
0.4982, 11.9444
0.5022, 11.9973
0.5063, 11.9973
0.5104, 11.9973
0.5146, 12.0504
0.5187, 12.0504
0.5229, 12.1034
0.5272, 12.1034
0.5314, 12.1033
0.5358, 12.1564
0.5402, 12.1562
0.5445, 12.2094
0.549, 12.2093
0.5534, 12.2624
0.5579, 12.2623
0.5625, 12.3154
0.567, 12.3153
0.5716, 12.3684
0.5763, 12.3683
0.581, 12.4214
0.5857, 12.4213
0.5904, 12.4744
0.5953, 12.4743
0.6, 12.5274
0.605, 12.5272
0.6099, 12.5272
0.6148, 12.5803
0.6198, 12.5803
0.6249, 12.5803
0.63, 12.6333
0.6351, 12.6333
0.6402, 12.6863
0.6454, 12.6863
0.6507, 12.6862
0.656, 12.7393
0.6613, 12.7923
0.6667, 12.7923
0.6721, 12.8453
0.6775, 12.8982
0.6831, 12.8982
0.6886, 12.9513
0.6942, 12.9513
0.6998, 13.0043
0.7055, 13.0043
0.7113, 13.0573
0.717, 13.0573
0.7229, 13.0573
0.7287, 13.1103
0.7347, 13.1103
0.7406, 13.1633
0.7467, 13.1632
0.7527, 13.1632
0.7588, 13.2162
0.765, 13.2162
0.7711, 13.2692
0.7774, 13.2692
0.7838, 13.3222
0.7902, 13.3222
0.7966, 13.3222
0.8031, 13.3752
0.8096, 13.3752
0.8162, 13.4282
0.8228, 13.4282
0.8295, 13.4282
0.8363, 13.4812
0.8431, 13.4812
0.8498, 13.5342
0.8568, 13.5342
0.8638, 13.5341
0.8708, 13.5341
0.8779, 13.5341
0.885, 13.5341
0.8921, 13.534
0.8995, 13.587
0.9068, 13.6401
0.9142, 13.64
0.9216, 13.6931
0.9291, 13.7461
0.9365, 13.7461
0.9442, 13.7991
0.9519, 13.7991
0.9596, 13.8521
0.9674, 13.8521
0.9752, 13.8519
0.9832, 13.9051
0.9912, 13.905
0.9992, 13.905
1.0074, 13.905
1.0156, 13.958
1.0239, 13.958
1.0322, 13.958
1.0406, 13.9579
1.049, 14.011
1.0576, 14.0109
1.0662, 14.0109
1.0748, 14.0109
1.0836, 14.0108
1.0924, 14.0108
1.1013, 14.0638
1.1102, 14.0638
1.1193, 14.0638
1.1283, 14.1168
1.1375, 14.1168
1.1468, 14.1168
1.1561, 14.1167
1.1655, 14.1698
1.175, 14.1697
1.1844, 14.1697
1.1942, 14.1697
1.2039, 14.2227
1.2137, 14.2227
1.2235, 14.2227
1.2335, 14.2757
1.2435, 14.2757
1.2536, 14.2756
1.2638, 14.2756
1.2741, 14.3286
1.2844, 14.3286
1.2949, 14.3286
