# %ECSV 0.9
# ---
# datatype:
# - {name: teff, unit: K, datatype: float64}
# - {name: logg, unit: dex, datatype: float64}
# - {name: mh, unit: dex, datatype: float64}
# - {name: STIS_50CCD, unit: 'log [W/m2/um] at surface', datatype: float64, format: .3f}
# - {name: CGI_narrow, unit: 'log [W/m2/um] at surface', datatype: float64, format: .3f}
# - {name: CGI_wide, unit: 'log [W/m2/um] at surface', datatype: float64, format: .3f}
# - {name: CGI_IFS660, unit: 'log [W/m2/um] at surface', datatype: float64, format: .3f}
# - {name: CGI_IFS730, unit: 'log [W/m2/um] at surface', datatype: float64, format: .3f}
# - {name: CGI_IFS760, unit: 'log [W/m2/um] at surface', datatype: float64, format: .3f}
# schema: astropy-2.0
teff logg mh STIS_50CCD CGI_narrow CGI_wide CGI_IFS660 CGI_IFS730 CGI_IFS760
800.0 4.5 0.0 2.663 -5.333 1.885 -0.303 -0.096 0.796
800.0 5.0 0.0 2.690 -5.231 1.803 -0.502 -0.258 0.659
800.0 5.5 0.0 2.769 -5.063 1.791 -0.610 -0.316 0.627
900.0 4.5 0.0 2.922 -4.751 2.317 0.370 0.594 1.400
900.0 5.0 0.0 2.965 -4.891 2.238 0.135 0.366 1.226
900.0 5.5 0.0 3.028 -4.831 2.190 -0.043 0.221 1.124
1000.0 4.5 0.0 3.132 -3.833 2.649 0.876 1.155 1.870
1000.0 5.0 0.0 3.191 -4.316 2.607 0.688 0.933 1.723
1000.0 5.5 0.0 3.251 -4.522 2.554 0.488 0.743 1.592
1100.0 4.5 0.0 3.317 -2.708 2.906 1.232 1.583 2.226
1100.0 5.0 0.0 3.384 -3.354 2.910 1.138 1.427 2.139
1100.0 5.5 0.0 3.451 -3.881 2.877 0.965 1.233 2.015
1200.0 4.5 0.0 3.495 -1.694 3.124 1.489 1.912 2.513
1200.0 5.0 0.0 3.560 -2.307 3.166 1.487 1.842 2.485
1200.0 5.5 0.0 3.633 -2.876 3.166 1.388 1.696 2.401
1300.0 4.5 0.0 3.663 -0.956 3.323 1.682 2.161 2.755
1300.0 5.0 0.0 3.730 -1.324 3.388 1.743 2.167 2.772
1300.0 5.5 0.0 3.801 -1.863 3.418 1.725 2.093 2.734
1400.0 4.5 0.0 3.834 -0.393 3.527 1.882 2.406 2.993
1400.0 5.0 0.0 3.891 -0.579 3.598 1.975 2.457 3.032
1400.0 5.5 0.0 3.954 -0.999 3.641 2.008 2.436 3.023
1500.0 4.5 0.0 4.005 -0.049 3.735 2.053 2.604 3.217
1500.0 5.0 0.0 4.049 -0.087 3.788 2.129 2.653 3.243
1500.0 5.5 0.0 4.105 -0.244 3.838 2.193 2.676 3.255
1600.0 4.5 0.0 4.162 0.334 3.957 2.262 2.833 3.455
1600.0 5.0 0.0 4.199 0.331 3.995 2.319 2.876 3.472
