Dupl?	Name	st_vmag	st_pmdec	st_pmra	st_glon	st_glat	size_b	size_t	Besancon	Trilegal
0	14 Her b	6.61	-297	132.6	69.170376	46.944999	5.6	5.6	3004	output731716935130
0	16 Cyg B b	6.25	-163	-132	83.33646	13.204352	0.5	0.5	3005	output668299278783
0	47 UMa b	5.05	56.6	-317.2	175.782531	63.369127	12.8	10	3006	output2305284216
1	47 UMa c	5.05	56.6	-317.2	175.782531	63.369127	12.8	10	0	0
0	51 Eri b	5.23	-64.1	43.6	198.61262	-30.657612	4.9	4.9	3007	output153379987998
0	55 Cnc d	5.96	-233.5	-484.8	196.794709	37.698968	7.2	7.2	3008	output710691059547
0	bet Pic b	3.85	83.3	4.1	258.36388	-30.611632	3.4	3.4	3009	output532792625556
0	eps Eri b	3.82	18.1	-976.1	195.844698	-48.051279	9.2	9.2	3010	output311658819512
0	gam Cep b	3.21	142.6	-67.9	118.99218	15.315533	1.3	1.3	3011	output326076888320
0	HD 100546 b	6.704	-0.6	-37.6	296.367276	-8.323635	0.2	0.2	3012	output401609408510
0	HD 10647 b	5.52	-104.5	171.2	286.897363	-61.769326	8.5	8.5	3013	output823282368787
0	HD 114613 b	4.85	46.5	-381.3	307.41949	24.88908	1.3	1.3	3014	output526513296718
0	HD 134987 c	6.45	-75.4	-400.3	339.186087	27.386414	0.9	0.9	3015	output807279185931
0	HD 142 c	5.7	-37.4	574.7	321.587087	-66.386565	8.3	8.3	3016	output652911443104
0	HD 150706	7.02	-89.2	95.1	113.007151	32.638271	4	4	3043	output823115266933
0	HD 154345 b	6.76	855.7	122.6	73.022221	37.663548	4	4	3017	output141010020700
0	HD 160691 c	5.15	-191.8	-14.4	340.060663	-11.498059	0.1	0.1	3018	output510055242412
0	HD 190360 b	5.73	-524.3	683.7	67.410863	-0.672376	0.02	0.02	3034	output902009569414
0	HD 192310 c	5.73	-180.8	1241.9	15.624477	-29.39737	1	1	3020	output731756523325
0	HD 196067 b	6.03	-161.7	155.7	318.444099	-33.048452	1.8	1.8	3021	output456356045630
0	HD 217107 c	6.16	-15.1	-5.8	70.474077	-53.324016	6.8	6.8	3022	output103994414982
0	HD 219077 b	6.12	-425.3	478.2	320.405877	-50.998398	5	5	3023	output793769421595
0	HD 219134 h	5.57	295.4	2074.5	109.89845	-3.19852	0.3	0.3	3025	output52937638786
0	HD 30562 b	5.78	-248.7	313.8	203.396346	-29.824001	4.7	4.7	3026	output732931194202
0	HD 39091 b	5.65	1050.19	311.97	292.513482	-29.776203	2.3	2.3	3027	output288635752470
0	HD 62509 b	1.14	-45.95	-625.69	192.229328	23.406346	3.5	3.5	3028	output766084201009
0	HR 8799 d	5.953	-49.3	106.5	92.764215	-35.575078	4	4	3029	output421652639824
0	nu Oph c	3.34	-115.2	-9.3	18.167894	6.974494	0.02	0.02	3035	output69531679227
0	psi 1 Dra B b	5.699	-277.2	29.3	102.977548	31.027753	3.8	3.8	3031	output454073085523
0	tau Cet e	3.5	854.07	-1721.82	173.100761	-73.439747	12.6	10	3032	output37199333383
1	tau Cet f	3.5	854.07	-1721.82	173.100761	-73.439747	12.6	10	0	0
0	ups And d	4.1	-381.01	-172.57	132.000907	-20.66609	2.4	2.4	3033	output718770237247
