asec	contr
0.000000	1.000000
0.0250000	1.000000
0.0500000	1.000000
0.0750000	1.000000
0.100000	1.000000
0.125000	1.000000
0.150000	1.000000
0.175000	1.000000
0.200000	0.00443396
0.225000	0.00422178
0.250000	0.00353665
0.275000	0.00236405
0.300000	0.00196941
0.325000	0.00165065
0.350000	0.00171863
0.375000	0.00155911
0.400000	0.00125494
0.425000	0.00104348
0.450000	0.00110996
0.475000	0.00133927
0.500000	0.00134980
0.525000	0.00115244
0.550000	0.000943224
0.575000	0.000770766
0.600000	0.000767132
0.625000	0.000738064
0.650000	0.000737177
0.675000	0.000570824
0.700000	0.000509103
0.725000	0.000397918
0.750000	0.000316945
0.775000	0.000268750
0.800000	0.000263306
0.825000	0.000260981
0.850000	0.000214712
0.875000	0.000200149
0.900000	0.000164710
0.925000	0.000160818
0.950000	0.000129228
0.975000	0.000118778
1.00000	0.000133290
1.02500	0.000140287
1.05000	0.000151351
1.07500	0.000128671
1.10000	0.000104841
1.12500	8.74974e-005
1.15000	7.86480e-005
1.17500	6.51647e-005
1.20000	6.07210e-005
1.22500	5.60254e-005
1.25000	5.49919e-005
1.27500	5.19763e-005
1.30000	4.89408e-005
1.32500	4.49789e-005
1.35000	4.67083e-005
1.37500	4.42790e-005
1.40000	3.86430e-005
1.42500	3.49667e-005
1.45000	3.28195e-005
1.47500	3.06339e-005
1.50000	3.06809e-005
1.52500	2.79140e-005
1.55000	2.75172e-005
1.57500	2.61156e-005
1.60000	2.49085e-005
1.62500	2.27024e-005
1.65000	2.16123e-005
1.67500	2.15031e-005
1.70000	2.09054e-005
1.72500	2.19694e-005
1.75000	2.11111e-005
1.77500	2.00327e-005
1.80000	1.96813e-005
1.82500	1.87084e-005
1.85000	1.77972e-005
1.87500	1.74497e-005
1.90000	1.68989e-005
1.92500	1.59189e-005
1.95000	1.56241e-005
1.97500	1.55480e-005
2.00000	1.52230e-005
2.02500	1.51605e-005
2.05000	1.44684e-005
2.07500	1.45038e-005
2.10000	1.38092e-005
2.12500	1.34234e-005
2.15000	1.29651e-005
2.17500	1.20016e-005
2.20000	1.19411e-005
2.22500	1.20240e-005
2.25000	1.18119e-005
2.27500	1.16881e-005
2.30000	1.13083e-005
2.32500	1.08716e-005
2.35000	1.02527e-005
2.37500	9.58468e-006
2.40000	9.04946e-006
2.42500	8.96094e-006
2.45000	8.75166e-006
2.47500	8.59976e-006
2.50000	8.55901e-006
2.52500	8.63790e-006
2.55000	8.39532e-006
2.57500	8.11054e-006
2.60000	7.91330e-006
2.62500	7.57831e-006
2.65000	7.62661e-006
2.67500	7.46262e-006
2.70000	7.43617e-006
2.72500	6.78258e-006
2.75000	6.51673e-006
2.77500	6.49340e-006
2.80000	6.42782e-006
2.82500	6.16365e-006
2.85000	6.22908e-006
2.87500	6.16821e-006
2.90000	6.22876e-006
2.92500	6.12666e-006
2.95000	6.14261e-006
2.97500	5.70898e-006
3.00000	5.41333e-006
3.02500	5.05153e-006
3.05000	5.13910e-006
3.07500	5.16995e-006
3.10000	5.20375e-006
3.12500	4.85528e-006
3.15000	5.10646e-006
3.17500	5.03591e-006
3.20000	5.20275e-006
3.22500	4.98011e-006
3.25000	4.72305e-006
3.27500	4.11011e-006
3.30000	4.06553e-006
3.32500	4.23316e-006
3.35000	3.90206e-006
3.37500	3.92020e-006
3.40000	4.11458e-006
3.42500	4.01389e-006
3.45000	4.10326e-006
3.47500	4.06511e-006
3.50000	4.34149e-006
3.52500	4.07657e-006
3.55000	4.00104e-006
3.57500	4.21324e-006
3.60000	4.00853e-006
3.62500	3.94812e-006
3.65000	4.02962e-006
3.67500	3.97765e-006
3.70000	3.73779e-006
3.72500	3.86209e-006
3.75000	3.94974e-006
3.77500	3.75438e-006
3.80000	3.77687e-006
3.82500	3.70285e-006
3.85000	3.72719e-006
3.87500	3.88433e-006
3.90000	4.17997e-006
3.92500	3.82393e-006
3.95000	3.60789e-006
3.97500	3.54697e-006
4.00000	3.46714e-006
4.02500	3.56573e-006
4.05000	3.69280e-006
4.07500	3.26525e-006
4.10000	3.38803e-006
4.12500	3.38805e-006
4.15000	3.20084e-006
4.17500	3.27297e-006
4.20000	3.40335e-006
4.22500	3.28473e-006
4.25000	3.42389e-006
4.27500	3.37202e-006
4.30000	3.34914e-006
4.32500	3.23771e-006
4.35000	3.22723e-006
4.37500	3.25484e-006
4.40000	3.02813e-006
4.42500	2.93564e-006
4.45000	2.93476e-006
4.47500	2.93327e-006
4.50000	3.14467e-006
4.52500	3.16885e-006
4.55000	3.13654e-006
4.57500	3.12215e-006
4.60000	3.00159e-006
4.62500	3.05760e-006
4.65000	3.30200e-006
4.67500	3.02417e-006
4.70000	2.96464e-006
4.72500	2.80626e-006
4.75000	2.79645e-006
4.77500	2.72681e-006
4.80000	2.76042e-006
4.82500	2.84467e-006
4.85000	2.98517e-006
4.87500	2.87082e-006
4.90000	2.75922e-006
4.92500	2.75558e-006
4.95000	2.85898e-006
4.97500	2.70471e-006
5.00000	2.97363e-006
5.02500	2.90817e-006
5.05000	2.86369e-006
5.07500	2.81889e-006
5.10000	2.74551e-006
5.12500	2.81478e-006
5.15000	3.04222e-006
5.17500	2.80639e-006
5.20000	2.89883e-006
5.22500	2.75225e-006
5.25000	2.77001e-006
5.27500	2.93062e-006
5.30000	3.05111e-006
5.32500	2.89198e-006
5.35000	2.93876e-006
5.37500	2.65167e-006
5.40000	2.67431e-006
5.42500	2.70943e-006
5.45000	2.56488e-006
5.47500	2.74684e-006
5.50000	2.79026e-006
5.52500	2.65600e-006
5.55000	2.68170e-006
5.57500	2.61690e-006
5.60000	2.75111e-006
5.62500	2.69655e-006
5.65000	2.78233e-006
5.67500	2.85436e-006
5.70000	2.89517e-006
5.72500	2.94454e-006
5.75000	2.92394e-006
5.77500	2.91205e-006
5.80000	2.94089e-006
5.82500	2.87394e-006
5.85000	3.01693e-006
5.87500	2.70488e-006
5.90000	2.70495e-006
5.92500	2.55274e-006
5.95000	2.66337e-006
5.97500	2.70614e-006
6.00000	3.25944e-006
6.02500	4.05631e-006
6.05000	5.50896e-006
6.07500	3.79578e-006
6.10000	2.57950e-006
6.12500	2.54876e-006
6.15000	2.40207e-006
6.17500	2.31905e-006
6.20000	2.22765e-006
6.22500	2.37435e-006
6.25000	2.52250e-006
6.27500	2.44553e-006
6.30000	2.46737e-006
6.32500	2.55069e-006
6.35000	2.88349e-006
6.37500	4.54236e-006
