Teff	logg	M/Mo	Mbol	BC	U	B	V	R	I	J	H	K	u	g	r	i	z	y	b-y	u-b	v-y	V-I	G-R	U-V	U-G	B-V	Age
1500	7	0.15	19.064	0.983	23.034	20.606	18.081	17.823	19.548	19.652	19.658	20.627	24.045	19.305	17.694	19.779	19.447	18.036	1.813	5.323	3.901	-2.25	0.646	6.28	4.834	2.954	1.62E+10
1750	7	0.151	18.393	0.778	22.268	20.039	17.615	17.167	18.254	18.394	18.538	19.381	23.262	18.813	17.082	18.552	18.333	17.591	1.725	5.062	3.674	-1.282	1.197	5.929	4.562	2.768	1.34E+10
2000	7	0.151	17.812	0.538	21.615	19.573	17.274	16.667	17.204	17.399	17.645	18.347	22.589	18.421	16.656	17.544	17.41	17.258	1.626	4.77	3.451	-0.494	1.624	5.561	4.283	2.582	1.08E+10
2250	7	0.151	17.297	0.31	21.036	19.165	16.988	16.26	16.35	16.569	16.889	17.448	21.99	18.08	16.338	16.734	16.643	16.974	1.534	4.495	3.252	0.121	1.885	5.212	4.016	2.417	7.88E+09
2500	7	0.152	16.837	0.094	20.524	18.805	16.743	15.929	15.67	15.869	16.234	16.665	21.46	17.779	16.094	16.11	16.012	16.729	1.448	4.247	3.072	0.589	1.995	4.899	3.778	2.268	5.48E+09
2750	7	0.152	16.42	-0.097	20.045	18.47	16.517	15.651	15.142	15.257	15.644	15.976	20.967	17.499	15.887	15.639	15.5	16.502	1.367	4.016	2.905	0.913	1.999	4.607	3.557	2.129	3.94E+09
3000	7	0.152	16.039	-0.259	19.579	18.141	16.298	15.415	14.753	14.712	15.083	15.332	20.486	17.224	15.696	15.293	15.101	16.282	1.288	3.791	2.742	1.096	1.938	4.325	3.345	1.993	3.47E+09
3250	7	0.153	15.689	-0.392	19.115	17.814	16.08	15.208	14.475	14.226	14.54	14.722	20.009	16.95	15.511	15.038	14.802	16.062	1.209	3.57	2.58	1.16	1.84	4.047	3.136	1.858	3.15E+09
3500	7	0.153	15.362	-0.491	18.634	17.473	15.853	15.013	14.261	13.803	14.014	14.127	19.517	16.664	15.319	14.831	14.573	15.834	1.129	3.345	2.414	1.146	1.719	3.764	2.924	1.719	2.93E+09
3750	7	0.154	15.058	-0.546	18.114	17.103	15.604	14.808	14.07	13.448	13.519	13.555	18.985	16.352	15.108	14.637	14.377	15.585	1.044	3.105	2.237	1.086	1.583	3.464	2.699	1.572	2.80E+09
4000	7	0.155	14.771	-0.545	17.521	16.679	15.316	14.577	13.873	13.174	13.083	13.059	18.38	15.993	14.865	14.429	14.187	15.297	0.949	2.836	2.038	0.993	1.425	3.13	2.447	1.406	2.55E+09
4250	7	0.157	14.497	-0.5	16.885	16.219	14.997	14.317	13.656	12.962	12.722	12.675	17.734	15.599	14.591	14.199	13.984	14.978	0.855	2.559	1.834	0.888	1.264	2.787	2.186	1.238	2.23E+09
4500	7	0.159	14.235	-0.429	16.239	15.748	14.664	14.043	13.431	12.781	12.447	12.369	17.078	15.193	14.302	13.958	13.776	14.645	0.765	2.284	1.636	0.779	1.107	2.45	1.928	1.075	1.96E+09
4750	7	0.162	13.975	-0.349	15.602	15.281	14.324	13.761	13.196	12.603	12.24	12.133	16.432	14.784	14.005	13.708	13.559	14.306	0.684	2.019	1.453	0.673	0.96	2.132	1.68	0.926	1.67E+09
5000	7	0.168	13.717	-0.276	14.981	14.832	13.993	13.483	12.963	12.426	12.069	11.961	15.804	14.39	13.714	13.46	13.342	13.976	0.611	1.753	1.285	0.574	0.827	1.823	1.434	0.791	1.36E+09
5250	7	0.174	13.467	-0.22	14.395	14.421	13.687	13.224	12.746	12.258	11.919	11.822	15.212	14.027	13.444	13.229	13.139	13.671	0.548	1.485	1.137	0.485	0.709	1.528	1.194	0.673	1.15E+09
5500	7	0.179	13.23	-0.184	13.877	14.059	13.413	12.992	12.551	12.107	11.785	11.703	14.693	13.704	13.202	13.023	12.958	13.398	0.495	1.251	1.017	0.405	0.605	1.28	0.993	0.576	9.70E+08
6000	7	0.188	12.802	-0.15	13.08	13.466	12.952	12.602	12.227	11.856	11.567	11.514	13.898	13.167	12.796	12.678	12.656	12.939	0.41	0.952	0.842	0.268	0.434	0.952	0.739	0.43	7.76E+08
6500	7	0.192	12.428	-0.147	12.504	12.997	12.575	12.282	11.961	11.657	11.405	11.374	13.325	12.734	12.462	12.394	12.409	12.563	0.347	0.794	0.724	0.157	0.301	0.762	0.604	0.326	6.33E+08
7000	7	0.197	12.083	-0.161	12.049	12.598	12.243	11.996	11.721	11.48	11.266	11.253	12.873	12.36	12.166	12.14	12.186	12.232	0.297	0.708	0.639	0.064	0.193	0.647	0.533	0.248	5.18E+08
7500	7	0.201	11.761	-0.182	11.675	12.246	11.943	11.736	11.503	11.32	11.144	11.144	12.503	12.026	11.897	11.908	11.984	11.933	0.255	0.67	0.575	-0.018	0.1	0.583	0.506	0.185	4.25E+08
8000	7	0.205	11.459	-0.206	11.36	11.929	11.665	11.496	11.301	11.172	11.032	11.044	12.192	11.721	11.648	11.694	11.797	11.656	0.217	0.667	0.529	-0.095	0.014	0.556	0.512	0.134	3.46E+08
8500	7	0.209	11.174	-0.228	11.087	11.637	11.403	11.27	11.113	11.035	10.929	10.95	11.924	11.438	11.415	11.493	11.624	11.394	0.183	0.688	0.496	-0.169	-0.065	0.557	0.542	0.092	2.84E+08
9000	7	0.213	10.906	-0.25	10.846	11.367	11.156	11.058	10.939	10.907	10.835	10.862	11.687	11.173	11.197	11.305	11.464	11.148	0.153	0.724	0.472	-0.242	-0.14	0.573	0.584	0.059	2.32E+08
9500	7	0.217	10.652	-0.275	10.627	11.118	10.927	10.863	10.78	10.79	10.748	10.78	11.473	10.928	10.996	11.134	11.319	10.919	0.125	0.762	0.453	-0.312	-0.211	0.593	0.628	0.03	1.88E+08
10000	7	0.22	10.411	-0.314	10.432	10.897	10.725	10.693	10.643	10.689	10.673	10.706	11.28	10.712	10.82	10.986	11.195	10.718	0.098	0.794	0.435	-0.378	-0.277	0.606	0.663	0.003	1.52E+08
10500	7	0.223	10.185	-0.379	10.263	10.714	10.563	10.558	10.536	10.608	10.611	10.645	11.114	10.534	10.68	10.87	11.097	10.556	0.073	0.81	0.415	-0.434	-0.336	0.604	0.681	-0.023	1.24E+08
11000	7	0.226	9.969	-0.473	10.128	10.573	10.442	10.458	10.457	10.548	10.561	10.594	10.98	10.398	10.576	10.785	11.024	10.435	0.05	0.819	0.395	-0.477	-0.386	0.592	0.688	-0.049	9.93E+07
11500	7	0.229	9.763	-0.587	10.016	10.461	10.35	10.382	10.396	10.499	10.517	10.55	10.868	10.292	10.497	10.72	10.966	10.344	0.028	0.816	0.375	-0.507	-0.426	0.571	0.684	-0.074	7.99E+07
12000	7	0.231	9.566	-0.693	9.891	10.348	10.258	10.303	10.33	10.445	10.469	10.503	10.743	10.186	10.415	10.65	10.904	10.254	0.011	0.797	0.349	-0.532	-0.459	0.538	0.666	-0.1	6.59E+07
12500	7	0.234	9.376	-0.793	9.757	10.238	10.169	10.222	10.26	10.389	10.418	10.455	10.609	10.083	10.332	10.577	10.837	10.165	-0.001	0.761	0.318	-0.551	-0.484	0.494	0.633	-0.124	5.55E+07
13000	7	0.237	9.194	-0.891	9.624	10.133	10.085	10.144	10.191	10.333	10.368	10.407	10.476	9.986	10.253	10.506	10.771	10.082	-0.011	0.718	0.287	-0.566	-0.504	0.444	0.593	-0.147	4.70E+07
13500	7	0.239	9.018	-0.988	9.495	10.035	10.006	10.07	10.125	10.279	10.318	10.359	10.347	9.896	10.177	10.438	10.708	10.004	-0.019	0.673	0.258	-0.578	-0.52	0.393	0.551	-0.167	4.00E+07
14000	7	0.242	8.848	-1.083	9.371	9.942	9.931	10	10.061	10.226	10.269	10.313	10.223	9.81	10.105	10.372	10.646	9.93	-0.026	0.628	0.232	-0.588	-0.534	0.344	0.508	-0.185	3.46E+07
14500	7	0.244	8.684	-1.175	9.252	9.853	9.859	9.931	9.999	10.174	10.221	10.267	10.103	9.728	10.035	10.309	10.586	9.859	-0.033	0.583	0.208	-0.598	-0.546	0.296	0.466	-0.2	3.00E+07
15000	7	0.247	8.525	-1.265	9.137	9.77	9.79	9.866	9.939	10.124	10.174	10.222	9.988	9.65	9.968	10.247	10.528	9.79	-0.038	0.54	0.187	-0.606	-0.557	0.25	0.426	-0.214	2.62E+07
15500	7	0.25	8.372	-1.352	9.028	9.69	9.723	9.802	9.88	10.075	10.128	10.179	9.878	9.576	9.903	10.187	10.471	9.724	-0.043	0.499	0.169	-0.614	-0.567	0.206	0.387	-0.226	2.31E+07
16000	7	0.252	8.223	-1.436	8.922	9.613	9.659	9.741	9.824	10.027	10.083	10.136	9.773	9.504	9.841	10.129	10.416	9.66	-0.048	0.46	0.152	-0.621	-0.576	0.164	0.349	-0.237	2.03E+07
16500	7	0.254	8.079	-1.517	8.822	9.539	9.596	9.681	9.769	9.981	10.04	10.095	9.671	9.435	9.78	10.073	10.363	9.598	-0.052	0.422	0.136	-0.629	-0.584	0.125	0.314	-0.247	1.81E+07
17000	7	0.257	7.939	-1.597	8.725	9.468	9.536	9.623	9.716	9.936	9.997	10.055	9.574	9.369	9.722	10.018	10.312	9.538	-0.056	0.387	0.122	-0.635	-0.593	0.088	0.28	-0.256	1.60E+07
20000	7	0.27	7.18	-2.027	8.212	9.087	9.207	9.309	9.424	9.687	9.762	9.831	9.059	9.009	9.403	9.72	10.029	9.211	-0.076	0.209	0.051	-0.671	-0.634	-0.1	0.111	-0.301	7.44E+06
25000	7	0.288	6.141	-2.605	7.532	8.559	8.746	8.867	9.011	9.33	9.424	9.509	8.378	8.51	8.955	9.299	9.628	8.752	-0.102	0.001	-0.035	-0.718	-0.688	-0.32	-0.087	-0.357	2.55E+06
30000	7	0.304	5.291	-3.024	6.932	8.075	8.315	8.451	8.618	8.98	9.091	9.19	7.778	8.049	8.535	8.899	9.244	8.323	-0.121	-0.159	-0.104	-0.754	-0.727	-0.49	-0.24	-0.398	1.10E+06
35000	7	0.32	4.566	-3.388	6.461	7.68	7.954	8.095	8.271	8.656	8.77	8.868	7.306	7.669	8.176	8.55	8.901	7.964	-0.129	-0.266	-0.151	-0.767	-0.743	-0.601	-0.345	-0.42	5.76E+05
40000	7	0.338	3.925	-3.775	6.155	7.408	7.701	7.844	8.025	8.419	8.535	8.632	7	7.405	7.925	8.303	8.657	7.711	-0.134	-0.317	-0.175	-0.774	-0.752	-0.654	-0.394	-0.433	3.17E+05
